full_name,email,phone,screen_name
Kimmese,,,https://twitter.com/kimmese
Chi Pu,,,https://twitter.com/chipuofficial
Trish Thuy Trang,,,https://twitter.com/trishthuytrang
Đông Nhi,,,https://twitter.com/dongnhisinger
Khổng Tú Quỳnh,,,https://twitter.com/KhongTuQuynh91
Bang Kieu,,,https://twitter.com/BangKieuMusic
Phan Huong Giang,,,https://twitter.com/giangphan80
M-TP,,,https://twitter.com/sontungmtp777
Samsam,,,Samsam27012000
Itali Huỳnh,,,https://twitter.com/Hnny2109
Tam Dep Trai,,,https://twitter.com/npt15091993
Debri Sumule,,,https://twitter.com/radenrauf
